"","p.name","p.id","p.owner","track.name","track.id","added.at","track.duration","track.popularity","track.dance","track.energy","track.key","track.loudness","track.speechiness","track.acousticness","track.instrumentalness","track.liveness","track.valence","track.tempo"
"83","Feb2017","0JfjB7rFlxgErruxTiMRUf","mark.rossi.06","Killin The Vibe","2EjQHNY358J7m1nUeMaWFw","2017-02-09T00:10:45Z",259186,55,0.575,0.921,6,-3.085,0.0533,0.729,0.0955,0.128,0.494,125.583
"84","Feb2017","0JfjB7rFlxgErruxTiMRUf","mark.rossi.06","Lost on You","2kz40rIHjfGYxurLiuCBp9","2017-02-09T01:10:54Z",268105,68,0.433,0.724,5,-6.126,0.0372,0.1,0,0.0918,0.661,174.006
"85","Feb2017","0JfjB7rFlxgErruxTiMRUf","mark.rossi.06","Fallin'Down ft. Parks","2LNlJV2ISWgt3f7yAG6CsL","2017-02-09T15:27:20Z",340539,30,0.582,0.468,1,-6.901,0.0406,0.75,0.18,0.0685,0.487,97.085
"86","Feb2017","0JfjB7rFlxgErruxTiMRUf","mark.rossi.06","Actually Smiling","1oJVOO1B9fXfw62IQoWsXp","2017-02-09T23:46:26Z",294532,42,0.76,0.645,6,-10.428,0.0531,0.602,0.945,0.0954,0.848,120.02
"87","Feb2017","0JfjB7rFlxgErruxTiMRUf","mark.rossi.06","one of us","5v3lnjl6T5axEpMlwiiBdI","2017-02-11T18:29:03Z",139084,42,0.774,0.708,3,-5.878,0.112,0.82,0.000161,0.125,0.571,170.018
"88","Feb2017","0JfjB7rFlxgErruxTiMRUf","mark.rossi.06","Smooth Sailin'","3bdahDnXPoHhxwYMJIPJZu","2017-02-11T18:50:44Z",171160,39,0.751,0.133,0,-12.858,0.0464,0.699,0,0.11,0.358,70.48
"89","Feb2017","0JfjB7rFlxgErruxTiMRUf","mark.rossi.06","Let The Chalice Blaze","4KLEYPEMXx599V7w6mugro","2017-02-11T20:27:29Z",284026,38,0.735,0.452,9,-10.145,0.0809,0.0233,0.903,0.101,0.366,90.004
"90","Feb2017","0JfjB7rFlxgErruxTiMRUf","mark.rossi.06","sublime","2RjdEUqVBC6aRUd731J4NB","2017-02-12T22:17:48Z",221372,37,0.815,0.551,0,-6.558,0.0522,0.756,0.036,0.187,0.848,133.374
"91","Feb2017","0JfjB7rFlxgErruxTiMRUf","mark.rossi.06","Sheep","7412fpVfB2PSSb1nENQczC","2017-02-13T15:34:02Z",215180,64,0.498,0.502,2,-8.052,0.0371,0.891,0.000907,0.0716,0.301,81.169
"92","Feb2017","0JfjB7rFlxgErruxTiMRUf","mark.rossi.06","Here In Spirit","5GE8FTL15kS123apRK7vD4","2017-02-14T15:49:50Z",256413,51,0.528,0.556,11,-5.945,0.0396,0.00625,0.0429,0.336,0.504,80.038
"93","Feb2017","0JfjB7rFlxgErruxTiMRUf","mark.rossi.06","We Ain't Getting Any Younger Pt. 2","0BZa5Bb1exK27SE2eZcyy1","2017-02-14T16:02:09Z",184786,41,0.404,0.692,5,-6.736,0.0486,0.13,0.375,0.177,0.668,141.47
"94","Feb2017","0JfjB7rFlxgErruxTiMRUf","mark.rossi.06","True Nature","48CS6ioeWtpd7WUqx2fLzo","2017-02-14T16:05:41Z",220866,40,0.375,0.869,0,-6.916,0.102,0.373,0.678,0.274,0.603,153.864
"95","Feb2017","0JfjB7rFlxgErruxTiMRUf","mark.rossi.06","In The Moment","6Pm9ZKB8Jj3BSmsTetRhFx","2017-02-14T16:09:44Z",249053,41,0.475,0.691,4,-6.641,0.034,0.64,0.628,0.153,0.583,90.306
"96","Feb2017","0JfjB7rFlxgErruxTiMRUf","mark.rossi.06","Reality In Motion","3I7OmVsk4Hm5LBbs2GmhlD","2017-02-15T23:40:36Z",252026,57,0.535,0.916,2,-4.976,0.06,0.162,0.000495,0.398,0.487,115.015
"97","Feb2017","0JfjB7rFlxgErruxTiMRUf","mark.rossi.06","White Light","4Ymo5rUYjGob80ozrsHF9u","2017-02-16T23:25:13Z",290120,30,0.608,0.747,7,-7.753,0.0322,0.00262,0.187,0.186,0.549,103.012
"98","Feb2017","0JfjB7rFlxgErruxTiMRUf","mark.rossi.06","Depth Charge","3jdYXYKW66bawC9V7mj5Wy","2017-02-17T23:48:14Z",308940,57,0.503,0.702,1,-5.388,0.0858,0.0494,0.422,0.274,0.173,80.006
"99","Feb2017","0JfjB7rFlxgErruxTiMRUf","mark.rossi.06","When I Get There","2sKTYRCgUHXmIhI2hoBuZE","2017-02-18T00:05:28Z",220000,61,0.694,0.483,0,-7.157,0.0359,0.000196,0.557,0.134,0.141,96.029
"100","Feb2017","0JfjB7rFlxgErruxTiMRUf","mark.rossi.06","Ontario","4GroumsjzAcgCwJzTGY7px","2017-02-18T21:37:11Z",232549,58,0.54,0.461,10,-9.427,0.0341,0.236,0.531,0.0865,0.108,89.995
"101","Feb2017","0JfjB7rFlxgErruxTiMRUf","mark.rossi.06","My Old Man","1Cf943IKq0bhdBv4VfdOcd","2017-02-19T19:06:43Z",221653,65,0.658,0.575,1,-11.493,0.0332,0.677,0.253,0.0985,0.835,149.274
"102","Feb2017","0JfjB7rFlxgErruxTiMRUf","mark.rossi.06","Estevez","2SkmEolTWq4mRQJWh8Vz7R","2017-02-19T20:58:18Z",142942,31,0.239,0.451,6,-12.499,0.0285,0.0419,0.938,0.53,0.45,151.411
"103","Feb2017","0JfjB7rFlxgErruxTiMRUf","mark.rossi.06","California Dreamin'","7E5p9vyjnx7C90DU8Jv1PI","2017-02-19T21:03:22Z",377106,46,0.577,0.675,1,-9.356,0.123,0.29,0.0265,0.0488,0.912,156.32
"104","Feb2017","0JfjB7rFlxgErruxTiMRUf","mark.rossi.06","Dog Years","5RRNZFyOi17nTh2bPEKPtp","2017-02-21T12:29:49Z",277506,60,0.641,0.529,9,-7.125,0.0311,0.199,0.00151,0.107,0.0707,95.01
